turfID,site,year,old,new,special,cover1,special2,cover2
A3-2,H,2014,Pol.mac,Pol.viv,,,,
A4-2,H,2014,Oxy.yun,Hed.alg,,,,
A4-2,H,2014,Jun.leu,Jun.him,,,,
A5-OTC,A,2014,Jun.leu,Jun.him,,,,
A6-C,A,2014,Pot.ste,Pot.leu,,,,
A7-O,A,2014,Kob.pgy,Fes.spp,,,,
A7-O,A,2014,Pot.ste,Pot.leu,,,,
H1-3,L,2014,Sau.pac,Sau.cet,,,,
H3-1,A,2014,Kob.pgy,Fes.spp,,,,
H3-OTC,H,2014,Cer.sze,Ste.als,,,,
H4-1,A,2014,Agr.ner,Fes.spp,,,,
H4-1,A,2014,Pot.leu,Pot.ste,,,,
H4-3,L,2014,Sag.jap,Cer.sze,,,,
H4-C,H,2014,Cya.inc,And.min,,,,
H4-C,H,2014,Sau.glo,Sau.pac,,,,
H5-1,A,2014,Pol.viv,Pol.mac,,,,
H5-OTC,H,2014,Sib.pen,Par.spp,,,,
H6-1,A,2014,Sib.pen,Par.spp,,,,
L2-2,M,2014,Sau.gra,You.rac,,,,
L3-2,M,2014,Fes.spp,Poa.spp,,,,
L3-O,L,2014,Poa.spp,Fes.spp,,,,
L5-4,H,2014,Pol.cya,And.min,,,,
L5-4,H,2014,Agr.ner,Poa.spp,,,,
L6-2,M,2014,Fes.spp,Poa.spp,,,,
M1-2,A,2014,Poa.spp,Fes.spp,,,,
M2-2,A,2014,Sau.gra,Sau.pac,,,,
M2-O,M,2014,Mic.sik,Cli.pol,,,,
M3-C,M,2014,Mic.sik,Cli.pol,,,,
M6-1,L,2014,Pol.viv,Pol.run,,,,
M7-1,L,2014,Pol.viv,Pol.run,,,,
M7-2,L,2014,Mic.sik,Cli.pol,,,,
M7-2,L,2014,Sau.glo,Sor.hoo,,,,
M7-C,M,2014,Pru.his,Cli.pol,,,,
,,,,,,,,
A1-1,M,2015,Mic.sik,Cli.pol,,,,
