Date,Site,Elevation,Taxon_TNRS_corrected,Taxon_written_on_envelopes,Individual_Number,Leaf_Number,Leaf_Area_cm2,Wet_Mass_g,Wet_Mass_WeighingScale,Dry_Mass_g,Dry_Mass_WeighingScale,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Leaf_Thickness_4_mm,Leaf_Thickness_5_mm,Leaf_Thickness_6_mm,Leaf_Thickness_Ave_mm,SLA_cm2-g,LDMC,notes
20150820,L,3000,Buddleja nivea,Budeleia_nivea,5,2,43.8196,0.81,1,0.2536,1,1.868,0.258,0.272,0.151,,,,172.7902208,0.31308642,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,5,3,28.8764,0.6552,1,0.2106,1,1.4,0.511,0.25,0.164,,,,137.1149098,0.321428571,
20150820,L,3000,Buddleja nivea,Budeleia_nivea,5,4,30.7195,0.665,1,0.2104,1,1.594,0.938,0.453,,,,,146.0052281,0.316390977,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,1,3,21.175,0.5924,1,0.1522,1,0.827,0.803,0.839,0.879,0.991,,,139.1261498,0.256920999,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,1,4,12.5537,0.3564,1,0.0893,1,0.841,1.021,0.778,1.037,,,,140.5789474,0.250561167,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,1,5,19.2853,0.5436,1,0.1576,1,0.743,1.278,0.725,0.552,,,,122.3686548,0.289919058,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,2,1,13.5697,0.4474,1,0.1033,1,0.956,1.218,0.862,0.998,,,,131.3620523,0.230889584,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,2,2,14.2904,0.4051,1,0.0974,1,0.962,0.92,0.929,0.951,,,,146.7186858,0.240434461,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,2,3,13.0876,0.409,2,0.0098,1,0.889,0.871,0.875,0.888,,,,1335.469388,0.02396088,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,2,4,14.1013,0.474,2,0.1176,1,0.4,0.897,1.271,0.87,,,,119.9090136,0.248101266,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,2,5,18.2193,0.549,2,0.1335,1,0.848,1.27,0.996,0.879,,,,136.4741573,0.243169399,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,3,1,13.0379,0.31,2,0.0866,1,0.89,0.894,0.782,0.602,,,,150.5531178,0.279354839,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,3,2,12.2164,0.323,2,0.0889,1,0.759,0.482,0.877,0.57,,,,137.4173228,0.275232198,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,3,3,12.8131,0.361,2,0.0997,1,0.673,0.724,0.605,0.568,,,,128.5165496,0.276177285,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,3,4,14.6314,0.336,2,0.1089,1,0.808,0.712,0.746,0.623,,,,134.3562902,0.324107143,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,3,5,10.7112,0.25,2,0.0699,1,0.636,0.708,0.5,0.562,,,,153.2360515,0.2796,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,1,1,18.2396,0.543,2,0.133,2,0.276,0.268,0.525,0.256,0.251,,,137.1398496,0.244935543,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,1,2,26.3067,0.626,2,0.153,2,0.211,0.299,0.185,0.209,0.227,0.235,,171.9392157,0.244408946,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,4,1,17.5335,0.439,2,0.115,2,0.363,0.22,0.377,0.201,,,,152.4652174,0.261958998,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,4,2,15.5831,0.364,2,0.11,2,0.384,0.231,0.289,0.213,,,,141.6645455,0.302197802,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,4,3,19.3821,0.51,2,0.142,2,0.471,0.258,0.269,0.275,,,,136.493662,0.278431373,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,4,4,16.0508,0.388,2,0.109,2,0.21,0.396,0.209,0.244,,,,147.2550459,0.280927835,
20150820,L,3000,Clematis chrysocoma,Clematis_chrysocoma,4,5,14.573,0.312,2,0.09,2,0.379,0.188,0.221,0.214,,,,161.9222222,0.288461538,
20150820,L,3000,Clinopodium polycephalum,Clinopodium_polycephalum,1,1,4.4036,0.0238,1,0.0102,1,0.201,,,,,,,431.7254902,0.428571429,
