Date,Site,Plot,Plot_Type,Elevation,Taxon_TNRS_corrected,Taxon_written_on_envelopes,Individual_Number,Leaf_Number,Leaf_Area_cm2,Wet_Mass_g,Wet_Mass_WeighingScale,Dry_Mass_g,Dry_Mass_WeighingScale,Leaf_Thickness_1_mm,Leaf_Thickness_2_mm,Leaf_Thickness_3_mm,Leaf_Thickness_4_mm,Leaf_Thickness_5_mm,Leaf_Thickness_6_mm,Leaf_Thickness_Ave_mm,SLA_cm2-g,LDMC,notes
20150820,M,M62,transplant.up,3500,Polygonum viviparum,Polygonum_viviparum,4,1,9.9059,0.207,1,0.0624,1,0.309,0.507,0.266,,,,,158.7483974,0.301449275,
20150820,M,M62,transplant.up,3500,Polygonum viviparum,Polygonum_viviparum,5,1,12.0179,0.318,1,0.0892,1,0.252,0.259,0.277,,,,,134.7298206,0.280503145,
20150823,M,m22,transplant.up,3500,Polygonum viviparum,Polygonum_viviparum,1,1,16.4132,0.331,2,0.0982,1,0.209,0.222,0.181,,,,,167.1405295,0.296676737,
20150823,M,M1OTC,warming,3500,Potentilla leuconota,Potentilla_leucolata,1,1,6.0277,0.1147,1,0.0244,1,0.502,0.59,0.609,,,,,247.0368852,0.212728858,
20150823,M,M1OTC,warming,3500,Potentilla leuconota,Potentilla_leucolata,2,1,6.3336,0.1339,1,0.0253,1,0.849,0.555,0.542,,,,,250.3399209,0.188946975,
20150823,M,M1OTC,warming,3500,Potentilla leuconota,Potentilla_leucolata,4,1,20.1053,0.4905,1,0.0706,1,0.477,0.454,0.389,,,,,284.7776204,0.14393476,
20150823,M,M22,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,3,1,16.2579,0.411,2,0.1119,1,0.572,0.506,0.589,,,,,145.2895442,0.272262774,
20150823,M,M22,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,4,1,14.2702,0.306,2,0.0798,1,0.633,0.526,0.437,,,,,178.8245614,0.260784314,
20150823,M,M22,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,5,1,8.0372,0.121,2,0.0338,1,0.436,0.391,0.406,,,,,237.7869822,0.279338843,
20150823,M,M42,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,1,1,14.8353,0.2598,1,0.0882,1,0.223,0.164,0.207,,,,,168.2006803,0.339491917,
20150823,M,M42,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,2,1,14.2986,0.19,1,0.0627,1,0.201,0.178,0.138,,,,,228.0478469,0.33,
20150823,M,M42,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,3,1,16.0309,0.2513,1,0.083,1,0.274,0.278,0.118,0.215,0.147,0.133,,193.1433735,0.330282531,
20150823,M,M42,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,4,1,10.615,0.1415,1,0.037,1,0.17,0.17,0.101,0.097,0.102,0.15,,286.8918919,0.261484099,
20150823,M,M62,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,1,1,22.8643,0.504,2,0.1625,1,0.574,0.478,0.534,,,,,140.7033846,0.322420635,
20150823,M,M62,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,2,1,22.9374,0.0503,2,0.1584,1,0.539,0.563,0.553,,,,,144.8068182,3.149105368,
20150823,M,M62,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,3,1,14.1577,0.3044,1,0.0751,1,0.537,0.466,0.52,,,,,188.517976,0.246714849,
20150823,M,M62,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,4,1,5.3173,0.072,2,0.0197,1,0.337,0.39,0.461,,,,,269.9137056,0.273611111,
20150823,M,M62,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,5,1,15.924,0.282,2,0.0808,1,0.676,0.556,0.53,,,,,197.0792079,0.286524823,
20150823,M,M7C,control,3500,Potentilla leuconota,Potentilla_leucolata,1,1,3.1824,0.0549,1,0.0115,1,0.642,,,,,,,276.7304348,0.209471767,
20150823,M,M7C,control,3500,Potentilla leuconota,Potentilla_leucolata,2,1,3.3022,0.0532,1,0.0104,1,0.567,,,,,,,317.5192308,0.195488722,
20150823,M,M7C,control,3500,Potentilla leuconota,Potentilla_leucolata,3,1,4.9907,0.0771,1,0.0145,1,0.168,0.194,,,,,,344.1862069,0.188067445,
20150823,M,M7C,control,3500,Potentilla leuconota,Potentilla_leucolata,4,1,5.3893,0.091,1,0.0172,1,0.307,0.664,,,,,,313.3313953,0.189010989,
20150823,M,M7C,control,3500,Potentilla leuconota,Potentilla_leucolata,5,1,3.0107,0.0489,1,0.0104,1,0.495,0.338,,,,,,289.4903846,0.212678937,
20150820,M,M32,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,1,1,21.1879,0.3716,1,0.1352,1,0.276,0.358,0.278,,,,,156.7152367,0.363832078,
20150820,M,M32,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,2,1,17.9456,0.3197,1,0.1105,1,0.202,0.39,0.372,,,,,162.4036199,0.345636534,
20150820,M,M32,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,3,1,16.1942,0.286,1,0.0853,1,0.609,0.249,0.349,,,,,189.8499414,0.298251748,
20150820,M,M32,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,4,1,12.5459,0.2541,1,0.0645,1,0.467,0.21,0.273,,,,,194.5100775,0.253837072,
20150820,M,M32,transplant.up,3500,Potentilla leuconota,Potentilla_leucolata,5,1,5.1404,0.1728,1,0.0456,1,0.38,0.413,0.351,,,,,112.7280702,0.263888889,
20150823,M,M5OTC,warming,3500,Saussurea przewalskii,Saussurea_prezewalskii,1,1,7.2845,0.1285,1,0.027,1,0.541,0.466,,,,,,269.7962963,0.210116732,
20150823,M,M5OTC,warming,3500,Saussurea przewalskii,Saussurea_prezewalskii,2,1,10.6322,0.2632,1,0.0756,1,0.379,0.382,,,,,,140.6375661,0.287234043,
20150823,M,M5OTC,warming,3500,Saussurea przewalskii,Saussurea_prezewalskii,3,1,3.8018,0.0557,1,0.0128,1,0.599,0.375,,,,,,297.015625,0.229802513,
20150823,M,M5OTC,warming,3500,Saussurea przewalskii,Saussurea_prezewalskii,4,1,7.204,0.1227,1,0.0258,1,0.44,0.352,,,,,,279.2248062,0.210268949,
20150823,M,M5OTC,warming,3500,Saussurea przewalskii,Saussurea_prezewalskii,5,1,5.6875,0.1196,1,0.0227,1,0.386,0.399,,,,,,250.5506608,0.189799331,
20150823,M,M22,transplant.up,3500,Saussurea przewalskii,Saussurea_przewalshii,1,1,4.4484,0.0877,1,0.0222,1,0.315,0.305,,,,,,200.3783784,0.25313569,
20150823,M,M22,transplant.up,3500,Saussurea przewalskii,Saussurea_przewalshii,2,1,5.5152,0.104,1,0.0186,1,0.409,0.408,,,,,,296.516129,0.178846154,
20150823,M,M22,transplant.up,3500,Saussurea przewalskii,Saussurea_przewalshii,3,1,4.0568,0.0939,1,0.0195,1,0.549,0.301,,,,,,208.0410256,0.207667732,
20150823,M,M22,transplant.up,3500,Saussurea przewalskii,Saussurea_przewalshii,4,1,6.4533,0.152,2,0.0267,1,0.393,0.477,,,,,,241.6966292,0.175657895,
20150823,M,M22,transplant.up,3500,Saussurea przewalskii,Saussurea_przewalshii,5,1,4.6151,0.116,2,0.0237,1,0.588,0.561,,,,,,194.7299578,0.204310345,
20150823,M,M2C,control,3500,Saussurea przewalskii,Saussurea_przewalskii,1,1,7.8831,0.168,2,0.0495,1,0.11,0.092,,,,,,159.2545455,0.294642857,
20150823,M,M2C,control,3500,Saussurea przewalskii,Saussurea_przewalskii,2,1,7.3173,0.146,2,0.035,1,0.077,0.076,,,,,,209.0657143,0.239726027,
20150823,M,M2C,control,3500,Saussurea przewalskii,Saussurea_przewalskii,3,1,7.0028,0.14,2,0.0325,1,0.083,0.064,,,,,,215.4707692,0.232142857,
20150823,M,M2C,control,3500,Saussurea przewalskii,Saussurea_przewalskii,4,1,4.9119,0.084,2,0.0224,1,0.08,0.048,,,,,,219.28125,0.266666667,
20150823,M,M2C,control,3500,Saussurea przewalskii,Saussurea_przewalskii,5,1,8.8018,0.18,2,0.0406,1,0.13,0.094,,,,,,216.7931034,0.225555556,
20150823,M,M3C,control,3500,Geranium pylzowianum ,Geranium_przewalskii,1,1,8.3389,0.172,2,0.0398,1,0.274,,,,,,,209.5201005,0.231395349,
20150823,M,M3C,control,3500,Geranium pylzowianum ,Geranium_przewalskii,2,1,5.1096,0.093,2,0.0238,1,0.258,,,,,,,214.6890756,0.255913978,
20150823,M,M3C,control,3500,Geranium pylzowianum ,Geranium_przewalskii,3,1,4.6322,0.081,2,0.0178,1,0.284,,,,,,,260.2359551,0.219753086,
20150823,M,M3C,control,3500,Geranium pylzowianum ,Geranium_przewalskii,4,1,5.1021,0.084,2,0.0239,1,0.27,,,,,,,213.4769874,0.28452381,
20150823,M,M3C,control,3500,Geranium pylzowianum ,Geranium_przewalskii,5,1,3.3478,0.062,2,0.0159,1,0.169,,,,,,,210.5534591,0.256451613,
